# GENERATED FILE - DO NOT EDIT. Source: docs/reference/feature-status.jsonl
id,area,feature,user_story,expected_behaviour,implementation_status,verification_status,code_evidence,test_evidence,external_evidence_remaining,known_defects,backlog_references,compatibility_notes,last_verified_commit,last_verified_date
US-001,Launch,Moment app root,"As a user, I want ProsePal to open into the writing experience so I can start without choosing between product implementations.","The app scene constructs MomentAppRootView with the shared writing service, account model, SwiftData container, and Write/Drafts/Settings tabs.",Implemented,Verified,prosepal-ios/App/ProsePalNativeApp.swift; prosepal-ios/Sources/ProsePalUI/MomentAppRootView.swift,prosepal-ios/Tests/ProsePalUITests/MomentWelcomeStateTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentRootNavigationTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift,,,docs/product/user-journeys.md,The app presents one current ProsePal experience; historical implementation distinctions are not user-facing product vocabulary.,c181378,2026-07-15
US-002,Launch,First-run welcome,"As a first-time user, I want a short welcome before the Moment sheet so I understand the app without being blocked by sign-in or purchase.",Welcome state controls whether the welcome or Moment tabs appear; welcome can be dismissed into the writing experience.,Implemented,Verified,prosepal-ios/Sources/ProsePalUI/MomentAppRootView.swift; prosepal-ios/Sources/ProsePalUI/MomentWelcomeView.swift,prosepal-ios/Tests/ProsePalUITests/MomentWelcomeStateTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift,,,docs/product/user-journeys.md,Welcome must not become a marketing splash on every launch.,c181378,2026-07-15
US-003,Moment Input,Person-first entry,"As a user, I want to start with who the message is for so the app frames the moment around a person.","MomentInput stores trimmed personName; MomentSheetView shows the person field before relationship, occasion, and optional detail.",Implemented,Verified,prosepal-ios/Sources/ProsePalDomain/MomentModels.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift,,,docs/product/user-journeys.md,At least two non-whitespace characters are required; pre-commit layout stability remains US-004.,c181378,2026-07-15
US-004,Moment Input,Person field commit behavior,"As a user typing a name, I want the layout to stay stable until I submit or leave the person field.",Typing a person keeps the uncommitted header and setup sections visible; submitting commits the person and switches to the named Moment setup.,Implemented,Partial,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/AppUITests/ProsePalNativeUITests.swift,Direct running-app coverage of the layout before and after person-field commit remains absent.,,docs/BACKLOG.md,Do not overstate the current XCUITest as direct pre-commit layout coverage.; MomentSheetView bases active layout and header controls on committed-person state.,c181378,2026-07-15
US-005,Moment Input,Relationship picker,"As a user, I want to choose the relationship naturally so the draft can respect context.","The relationship picker lists grouped relationships; selection updates model.relationship, logs metadata-only diagnostics, and invalidates stale output.",Implemented,Partial,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalDomain/CardModels.swift,prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift,Direct relationship-picker interaction and search behaviour remain unproved by UI automation.,,docs/product/capabilities.md,Dedicated picker interaction and any search behavior remain unproved by automation.,c181378,2026-07-15
US-006,Moment Input,Occasion picker,"As a user, I want to choose the moment or occasion without facing a giant static grid.","The occasion picker supports featured and searchable rows; selection updates occasion, applies automatic careful-treatment policy, logs metadata-only diagnostics, and invalidates stale output.",Implemented,Partial,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalDomain/CardModels.swift,prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift,Direct occasion-picker and search interaction remain unproved by UI automation.,,docs/product/capabilities.md,Automatic treatment changes without exposing a writing-mode selector.,c181378,2026-07-15
US-007,Moment Input,Register selector,"As a user, I want the app to match the stakes without making me understand writing modes.","The composer exposes no writing-mode control; ordinary moments retain the default internal mode while sympathy, pet sympathy, and apology align to automatic extra care.",Removed,Verified,prosepal-ios/Sources/ProsePalDomain/MomentModels.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift; prosepal-ios/Tests/ProsePalUITests/NativeGuardrailTests.swift,,,docs/BACKLOG.md,"Internal compatibility state remains until the planned recovery, routing, prompt, styling, and Pressure Check cleanup; it has no selectable UI.; Removed the dead selector while retaining internal compatibility values required by routing and recovery.",c181378,2026-07-15
US-008,Moment Input,One true thing,"As a user, I want to enter the real sentence or detail I need to say so the draft is grounded in my words.",MomentModel.trueThing maps into MomentInput.trueThing; edits invalidate stale output and refresh local refusal/pressure signals.,Implemented,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalDomain/MomentModels.swift,prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentComposerInputTests.swift,,,docs/product/user-journeys.md,Drafting remains explicit after detail edits.,c181378,2026-07-15
US-009,Safety,Narrow defensive block,"As a user entering an explicit high-risk phrase, I should see immediate support instead of a drafted message.",MomentInput.safetySignal matches a narrow explicit phrase list; canDraft becomes false and RoutingMessageWritingService throws contentBlocked before either writing client is called; the UI explains the refusal and presents support actions.,Partial,Partial,prosepal-ios/Sources/ProsePalDomain/MomentModels.swift; prosepal-ios/Sources/ProsePalAPI/MessageWritingService.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/Tests/ProsePalAPITests/MessageWritingServiceTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift; prosepal-ios/evidence/feature-status/us-009-crisis-block-fixed.jpg; prosepal-ios/evidence/feature-status/us-009-crisis-support-actions.jpg,Locale-aware refusal evidence and human safety review remain open.,The defensive block is limited to an English phrase list rather than a general classifier.,docs/BACKLOG.md,"Keep the scope narrow: this is a defensive refusal path, not a crisis-assessment product. Locale-aware evidence and human review remain open.; The refusal UI now explains why drafting stopped before presenting support resources.",c181378,2026-07-15
US-010,Drafting,Manual Write draft,"As a user, I want drafting to start only when I tap Write draft so generation is intentional.",MomentModel.startDraft is manual and owns the retained generation task; typing and input selection do not start generation.,Implemented,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalUI/MomentGeneratingView.swift,prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentGenerationLifecycleTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift,,,docs/product/user-journeys.md,Stop and broader cancellation behaviour are recorded separately in US-057.,c181378,2026-07-15
